time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2018-06-08T02:11:21.746Z,35.139254,-106.599788,1567,10.6189995,234,17.02,0,gps,1.3,0.8,1.5,-19,,,,41,
2018-06-08T02:11:24.000Z,35.138998,-106.600183,1559,4.5509996,233.1,18.8,8,gps,0.7,0.7,1,-19,,,,41,
2018-06-08T02:11:26.000Z,35.138786,-106.600535,1554,4.5509996,233.4,19.63,16,gps,0.7,0.7,1,-19,,,,41,
2018-06-08T02:11:28.000Z,35.138562,-106.600898,1552,4.5509996,233.5,20.73,15,gps,0.7,0.7,1,-19,,,,41,
2018-06-08T02:11:30.000Z,35.138336,-106.60127,1551,4.5509996,233.4,21.1,15,gps,0.7,0.7,1,-19,,,,41,
2018-06-08T02:11:32.000Z,35.138131,-106.60163,1552,4.5509996,233.5,20.69,15,gps,0.7,0.7,1,-19,,,,41,
2018-06-08T02:11:34.000Z,35.137912,-106.601991,1553,4.5509996,233.2,20.37,16,gps,0.7,0.7,1,-19,,,,41,
2018-06-08T02:11:36.000Z,35.13769,-106.602349,1553,4.5509996,233,20.47,16,gps,0.7,0.7,1,-19,,,,41,
2018-06-08T02:11:38.000Z,35.137458,-106.602706,1552,4.5509996,233.3,20.63,16,gps,0.7,0.7,1,-19,,,,41,
2018-06-08T02:11:40.000Z,35.13723,-106.603079,1552,4.5509996,233.4,20.97,16,gps,,,,-19,,,,41,
2018-06-08T02:11:42.000Z,35.137002,-106.603444,1552,4.5509996,233.2,21.13,15,gps,0.6,0.7,1,-19,,,,41,
2018-06-08T02:11:43.000Z,35.136889,-106.60363,1552,4.5509996,233,21.27,17,gps,0.6,0.7,0.9,-19,,,,41,
2018-06-08T02:11:45.000Z,35.136651,-106.604009,1551,4.5509996,232.7,21.57,16,gps,0.7,0.7,1,-19,,,,41,
2018-06-08T02:11:47.000Z,35.136419,-106.604389,1550,4.5509996,233,21.55,17,gps,0.6,0.7,0.9,-19,,,,41,
2018-06-08T02:11:49.000Z,35.136194,-106.60476,1551,4.5509996,233,21.08,17,gps,0.7,,,-19,,,,41,
2018-06-08T02:11:51.000Z,35.135969,-106.605118,1551,4.5509996,232.7,20.57,17,gps,0.6,0.7,0.9,-19,,,,41,
2018-06-08T02:11:53.000Z,35.135753,-106.605491,1550,4.5509996,233.7,20.8,17,gps,,,,-19,,,,41,
2018-06-08T02:11:55.000Z,35.13552,-106.605864,1549,4.5509996,233.7,21.17,13,gps,0.6,0.7,1,-19,,,,41,
2018-06-08T02:11:57.000Z,35.135295,-106.606241,1549,4.5509996,233.4,21.45,17,gps,0.6,,,-19,,,,41,
2018-06-08T02:11:59.000Z,35.135067,-106.606614,1548,4.5509996,234,21.36,17,gps,0.6,,,-19,,,,41,
2018-06-08T02:12:00.000Z,35.134955,-106.606805,1548,4.5509996,234.9,21.44,17,gps,0.6,0.7,0.9,-19,,,,41,
2018-06-08T02:12:02.000Z,35.134756,-106.607218,1548,4.5509996,241.1,21.46,16,gps,0.7,0.8,1,-19,,,,41,
2018-06-08T02:12:04.000Z,35.134607,-106.607645,1548,4.5509996,249.4,21.25,16,gps,,,,-19,,,,41,
2018-06-08T02:12:06.000Z,35.134525,-106.608092,1547,4.5509996,258.9,20.85,17,gps,0.6,0.7,0.9,-19,,,,41,
2018-06-08T02:12:08.000Z,35.134479,-106.608537,1547,4.5509996,263.2,20.32,17,gps,0.6,0.7,0.9,-19,,,,41,
2018-06-08T02:12:10.000Z,35.134439,-106.608967,1548,4.5509996,263.1,19.68,17,gps,0.6,0.7,0.9,-19,,,,41,
2018-06-08T02:12:12.000Z,35.134391,-106.609383,1548,4.5509996,260.1,18.85,17,gps,,,,-19,,,,41,
2018-06-08T02:12:14.000Z,35.134285,-106.609766,1549,4.5509996,250.2,18.32,16,gps,,,,-19,,,,41,
2018-06-08T02:12:16.000Z,35.134145,-106.61012,1549,4.5509996,242.3,17.64,17,gps,0.6,0.7,0.9,-19,,,,41,
2018-06-08T02:12:18.000Z,35.133982,-106.610439,1551,4.5509996,236,16.78,17,gps,0.6,0.7,0.9,-19,,,,41,
2018-06-08T02:12:20.000Z,35.133811,-106.61068,1551,4.5509996,229.2,13.48,16,gps,0.6,0.7,0.9,-19,,,,41,
2018-06-08T02:12:22.000Z,35.133653,-106.610869,1552,4.5509996,222.5,12.26,16,gps,0.7,0.7,1,-19,,,,41,
2018-06-08T02:12:24.000Z,35.133485,-106.611016,1552,4.5509996,216.2,11.31,16,gps,0.7,0.7,1,-19,,,,41,
2018-06-08T02:12:26.000Z,35.133317,-106.611165,1551,4.5509996,215,12.06,17,gps,0.6,,,-19,,,,41,
2018-06-08T02:12:28.000Z,35.133084,-106.611319,1551,4.5509996,207.7,14.9,17,gps,0.6,0.7,0.9,-19,,,,41,
2018-06-08T02:12:30.000Z,35.132825,-106.611473,1550,4.5509996,206.3,16.94,17,gps,0.6,0.7,0.9,-19,,,,41,
2018-06-08T02:12:32.000Z,35.132529,-106.611645,1549,4.5509996,205.2,18.17,16,gps,0.6,0.7,1,-19,,,,41,
2018-06-08T02:12:34.000Z,35.132201,-106.611826,1549,4.5509996,204.4,19.95,16,gps,0.6,0.7,0.9,-19,,,,41,
2018-06-08T02:12:35.000Z,35.132037,-106.611932,1548,4.5509996,206.9,20.72,17,gps,0.6,0.7,0.9,-19,,,,41,
2018-06-08T02:12:37.000Z,35.131701,-106.612186,1548,4.5509996,213.9,22.3,16,gps,0.7,0.7,1,-19,,,,41,
2018-06-08T02:12:39.000Z,35.131362,-106.612519,1549,4.5509996,221,24.16,17,gps,0.6,0.7,0.9,-19,,,,41,
2018-06-08T02:12:41.000Z,35.13105,-106.612924,1548,4.5509996,227.6,25.59,17,gps,0.6,0.7,0.9,-19,,,,41,
2018-06-08T02:12:43.000Z,35.130756,-106.613386,1548,4.5509996,232.7,27.07,17,gps,,,,-19,,,,41,
2018-06-08T02:12:45.000Z,35.130451,-106.613859,1548,4.5509996,231.4,27.61,17,gps,0.6,0.7,0.9,-19,,,,41,
2018-06-08T02:12:47.000Z,35.130129,-106.614342,1548,4.5509996,231.1,28.38,15,gps,0.7,0.7,1,-19,,,,41,
2018-06-08T02:12:49.000Z,35.129806,-106.614831,1548,4.5509996,230.8,28.71,17,gps,0.6,0.7,0.9,-19,,,,41,
2018-06-08T02:12:51.000Z,35.12949,-106.615331,1548,4.5509996,232.2,28.83,17,gps,0.6,0.7,0.9,-19,,,,41,
2018-06-08T02:12:53.000Z,35.129175,-106.615847,1547,4.5509996,233.1,29.29,16,gps,0.6,0.7,1,-19,,,,41,
2018-06-08T02:12:55.000Z,35.128864,-106.616363,1546,4.5509996,234,29.22,16,gps,0.6,0.8,1,-19,,,,41,
2018-06-08T02:12:57.000Z,35.128554,-106.616881,1546,4.5509996,233.2,28.99,17,gps,0.6,0.7,0.9,-19,,,,41,
2018-06-08T02:12:59.000Z,35.128228,-106.617391,1545,4.5509996,232.3,29.15,17,gps,0.6,,,-19,,,,40,
2018-06-08T02:13:01.000Z,35.127895,-106.61789,1543,4.5509996,230.3,29.28,17,gps,0.6,0.7,0.9,-19,,,,40,
2018-06-08T02:13:03.000Z,35.127544,-106.618367,1542,4.5509996,228.1,29.24,17,gps,0.6,0.7,0.9,-19,,,,40,
2018-06-08T02:13:05.000Z,35.127184,-106.618835,1540,4.5509996,226.8,29.11,16,gps,0.6,0.7,0.9,-19,,,,40,
2018-06-08T02:13:07.000Z,35.126811,-106.619283,1539,4.5509996,224.3,29.12,17,gps,0.6,0.7,0.9,-19,,,,40,
2018-06-08T02:13:09.000Z,35.126412,-106.619727,1539,4.5509996,222.5,30.4,17,gps,0.7,,,-19,,,,40,
2018-06-08T02:13:11.000Z,35.125984,-106.620174,1538,4.5509996,220.7,31.39,16,gps,0.7,0.7,1,-19,,,,40,
2018-06-08T02:13:13.000Z,35.125545,-106.620604,1538,4.5509996,218.3,31.33,17,gps,0.6,0.7,0.9,-19,,,,40,
2018-06-08T02:13:15.000Z,35.125093,-106.621018,1539,4.5509996,216.6,31.27,17,gps,0.6,0.7,0.9,-19,,,,40,
2018-06-08T02:13:17.000Z,35.124634,-106.621401,1542,4.5509996,214.3,31.04,16,gps,0.6,0.7,1,-19,,,,40,
2018-06-08T02:13:19.000Z,35.124159,-106.621767,1544,4.5509996,212,31.27,16,gps,0.6,0.7,0.9,-19,,,,40,
2018-06-08T02:13:21.000Z,35.123672,-106.622129,1545,4.5509996,211.2,31.78,17,gps,0.7,0.7,1,-19,,,,40,
2018-06-08T02:13:23.000Z,35.123172,-106.622483,1546,4.5509996,209.7,32.05,16,gps,0.7,0.7,1,-19,,,,40,
2018-06-08T02:13:25.000Z,35.122665,-106.622814,1547,4.5509996,207.2,31.97,17,gps,0.6,0.7,0.9,-19,,,,40,
2018-06-08T02:13:27.000Z,35.122137,-106.623108,1547,4.5509996,204,32.01,17,gps,0.6,0.7,0.9,-19,,,,40,
2018-06-08T02:13:29.000Z,35.121606,-106.623369,1547,4.5509996,201.5,32.02,17,gps,0.6,0.7,0.9,-19,,,,40,
2018-06-08T02:13:31.000Z,35.121067,-106.623611,1546,4.5509996,200.3,32.2,15,gps,0.7,0.7,1,-19,,,,40,
2018-06-08T02:13:33.000Z,35.120519,-106.623831,1547,4.5509996,198.2,32.26,16,gps,0.6,0.7,1,-19,,,,40,
2018-06-08T02:13:34.000Z,35.120242,-106.623935,1547,4.5509996,197.4,32.16,16,gps,0.6,0.7,0.9,-19,,,,40,
2018-06-08T02:13:36.000Z,35.119684,-106.624149,1547,4.5509996,197.5,32.6,17,gps,0.6,0.7,0.9,-19,,,,40,
2018-06-08T02:13:38.000Z,35.119122,-106.624362,1546,4.5509996,197,32.84,16,gps,0.6,0.7,0.9,-19,,,,40,
2018-06-08T02:13:40.000Z,35.118563,-106.624564,1545,4.5509996,196.5,32,17,gps,0.6,0.7,0.9,-19,,,,40,
2018-06-08T02:13:42.000Z,35.118009,-106.62476,1546,4.5509996,196.6,31.82,17,gps,,,,-19,,,,40,
2018-06-08T02:13:44.000Z,35.117458,-106.624953,1547,4.5509996,196.6,31.91,17,gps,0.6,0.7,0.9,-19,,,,40,
2018-06-08T02:13:46.000Z,35.116911,-106.625152,1548,4.5509996,196.9,31.75,17,gps,0.6,0.7,0.9,-19,,,,40,
2018-06-08T02:13:47.000Z,35.116639,-106.625254,1549,4.5509996,196.9,31.53,17,gps,,,,-19,,,,40,
2018-06-08T02:13:49.000Z,35.116087,-106.625452,1550,4.5509996,196.3,31.84,17,gps,0.7,0.7,1,-19,,,,40,
2018-06-08T02:13:51.000Z,35.115535,-106.625653,1550,4.5509996,196.7,31.96,16,gps,0.7,0.7,1,-19,,,,40,
2018-06-08T02:13:53.000Z,35.114987,-106.625857,1549,4.5509996,197,32.17,15,gps,0.6,0.7,0.9,-19,,,,40,
2018-06-08T02:13:55.000Z,35.11443,-106.626061,1549,4.5509996,196.8,32.19,17,gps,,,,-19,,,,40,
2018-06-08T02:13:57.000Z,35.11387,-106.62626,1548,4.5509996,196.3,32.36,17,gps,0.6,0.7,0.9,-19,,,,40,
2018-06-08T02:13:59.000Z,35.113311,-106.626463,1547,4.5509996,196.6,32.26,16,gps,0.6,0.7,1,-19,,,,40,
2018-06-08T02:14:01.000Z,35.112753,-106.626668,1545,4.5509996,196.7,32.43,16,gps,0.6,0.7,0.9,-19,,,,40,
2018-06-08T02:14:03.000Z,35.112199,-106.626872,1543,4.5509996,197,32.3,16,gps,0.6,0.7,0.9,-19,,,,40,
2018-06-08T02:14:05.000Z,35.111646,-106.627081,1544,4.5509996,196.8,32.06,17,gps,0.6,0.7,0.9,-19,,,,40,
2018-06-08T02:14:07.000Z,35.111103,-106.62728,1541,4.5509996,197.2,31.31,17,gps,,,,-19,,,,40,
2018-06-08T02:14:09.000Z,35.110571,-106.627481,1540,4.5509996,197.6,30.74,16,gps,0.6,0.7,1,-19,,,,40,
2018-06-08T02:14:11.000Z,35.110053,-106.627685,1540,4.5509996,198.5,30.29,16,gps,,,,-19,,,,40,
2018-06-08T02:14:13.000Z,35.10954,-106.627918,1541,4.5509996,200.8,30.56,17,gps,0.7,0.7,1,-19,,,,40,
